Id,Label,timeset,entitytype,interval,eigencentrality,clustering,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,dynamic_clustering,dynamic_indegree,dynamic_outdegree,dynamic_degree
"""Occupators"" Swing Aggregation","""Occupators"" Swing Aggregation","<[1946-04-14, 1946-05-05]>",ORGANIZATION,"<[1946-04-14, 1946-05-05]>",0.001088,0,89,18,0.108826,0.140013,471,1,1,2,1,1,2,0,0.000095,"<[1946-04-07, 1946-04-14, 0.006428988895382817]; [1946-04-14, 1946-04-21, 0.006428988895382817]; [1946-04-21, 1946-04-28, 0.007389162561576354]; [1946-04-28, 1946-05-05, 0.0064754856614246065]; [1946-05-05, 1946-05-12, 0.006278538812785388]>","<[1946-04-07, 1946-04-14, 1]; [1946-04-14, 1946-04-21, 1]; [1946-04-21, 1946-04-28, 1]; [1946-04-28, 1946-05-05, 1]; [1946-05-05, 1946-05-12, 1]>","<[1946-04-07, 1946-04-14, 1]; [1946-04-14, 1946-04-21, 1]; [1946-04-21, 1946-04-28, 1]; [1946-04-28, 1946-05-05, 1]; [1946-05-05, 1946-05-12, 1]>","<[1946-04-07, 1946-04-14, 2]; [1946-04-14, 1946-04-21, 2]; [1946-04-21, 1946-04-28, 2]; [1946-04-28, 1946-05-05, 2]; [1946-05-05, 1946-05-12, 2]>"
"""Spotlight Time""","""Spotlight Time""","<[1946-04-14, 1946-05-05]>",EVENT,"<[1946-04-14, 1946-05-05]>",0.003427,0.047619,89,17,0.121856,0.171038,1415,3,4,7,4,4,8,0.002075,0.049894,"<[1946-04-07, 1946-04-14, 0.011764705882352941]; [1946-04-14, 1946-04-21, 0.011764705882352941]; [1946-04-21, 1946-04-28, 0.0]; [1946-04-28, 1946-05-05, 0.007526881720430108]; [1946-05-05, 1946-05-12, 0.015070921985815602]>","<[1946-04-07, 1946-04-14, 3]; [1946-04-14, 1946-04-21, 3]; [1946-04-21, 1946-04-28, 3]; [1946-04-28, 1946-05-05, 3]; [1946-05-05, 1946-05-12, 3]>","<[1946-04-07, 1946-04-14, 4]; [1946-04-14, 1946-04-21, 4]; [1946-04-21, 1946-04-28, 4]; [1946-04-28, 1946-05-05, 4]; [1946-05-05, 1946-05-12, 4]>","<[1946-04-07, 1946-04-14, 7]; [1946-04-14, 1946-04-21, 7]; [1946-04-21, 1946-04-28, 7]; [1946-04-28, 1946-05-05, 7]; [1946-05-05, 1946-05-12, 7]>"
'Docs' Davidson,'Docs' Davidson,"<[1946-05-26, 1946-06-02]>",PERSON,"<[1946-05-26, 1946-06-02]>",0,0,23,1,1,1,0,0,1,1,0,1,1,0,0,"<[1946-05-19, 1946-05-26, 0.004675196850393701]; [1946-05-26, 1946-06-02, 0.001142204454597373]; [1946-06-02, 1946-06-09, 0.0015194015895278168]>","<[1946-05-19, 1946-05-26, 0]; [1946-05-26, 1946-06-02, 0]; [1946-06-02, 1946-06-09, 0]>","<[1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]; [1946-06-02, 1946-06-09, 1]>","<[1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]; [1946-06-02, 1946-06-09, 1]>"
'Jolly' Schwartz,'Jolly' Schwartz,"<[1946-05-26, 1946-06-02]>",PERSON,"<[1946-05-26, 1946-06-02]>",0,0,9,1,1,1,0,0,1,1,0,1,1,0,0,"<[1946-05-19, 1946-05-26, 0.0016989466530750934]; [1946-05-26, 1946-06-02, 0.0036231884057971015]; [1946-06-02, 1946-06-09, 0.009836065573770493]>","<[1946-05-19, 1946-05-26, 0]; [1946-05-26, 1946-06-02, 0]; [1946-06-02, 1946-06-09, 0]>","<[1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]; [1946-06-02, 1946-06-09, 1]>","<[1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]; [1946-06-02, 1946-06-09, 1]>"
'Man In The Street' Broadcast,'Man In The Street' Broadcast,"<[1946-05-19, 1946-05-26]>",EVENT,"<[1946-05-19, 1946-05-26]>",0,0,61,1,1,1,0,0,1,1,0,1,1,0,0.000009,"<[1946-05-12, 1946-05-19, 0.005402930402930403]; [1946-05-19, 1946-05-26, 0.02378048780487805]; [1946-05-26, 1946-06-02, 0.012854609929078014]>","<[1946-05-12, 1946-05-19, 0]; [1946-05-19, 1946-05-26, 0]; [1946-05-26, 1946-06-02, 0]>","<[1946-05-12, 1946-05-19, 1]; [1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]>","<[1946-05-12, 1946-05-19, 1]; [1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]>"
'Round The Bandstand,'Round The Bandstand,"<[1946-06-09, 1946-06-16]>",JOURNAL_COLUMN,"<[1946-06-09, 1946-06-16]>",0.001088,0,13,0,0,0,0,1,0,1,1,0,1,0.000005,0,"<[1946-06-02, 1946-06-09, 0.017676767676767676]; [1946-06-09, 1946-06-16, 0.002380952380952381]; [1946-06-16, 1946-06-23, 0.0024977960622979724]>","<[1946-06-02, 1946-06-09, 1]; [1946-06-09, 1946-06-16, 1]; [1946-06-16, 1946-06-23, 1]>","<[1946-06-02, 1946-06-09, 0]; [1946-06-09, 1946-06-16, 0]; [1946-06-16, 1946-06-23, 0]>","<[1946-06-02, 1946-06-09, 1]; [1946-06-09, 1946-06-16, 1]; [1946-06-16, 1946-06-23, 1]>"
'Swivel-Hips' Jules Doliner,'Swivel-Hips' Jules Doliner,"<[1945-12-16, 1945-12-23]>",PERSON,"<[1945-12-16, 1945-12-23]>",0,0,77,10,0.194444,0.219207,0,0,2,2,0,2,2,0,0.00043,"<[1945-12-16, 1945-12-23, 0.007227891156462585]; [1945-12-23, 1945-12-30, 0.006081438392384982]>","<[1945-12-16, 1945-12-23, 0]; [1945-12-23, 1945-12-30, 0]>","<[1945-12-16, 1945-12-23, 2]; [1945-12-23, 1945-12-30, 2]>","<[1945-12-16, 1945-12-23, 2]; [1945-12-23, 1945-12-30, 2]>"
'Uncle Joe' Hamilton,'Uncle Joe' Hamilton,"<[1946-06-30, 1946-07-07]>",PERSON,"<[1946-06-30, 1946-07-07]>",0,0,66,18,0.108665,0.140646,0,0,2,2,0,2,2,0,0.000009,"<[1946-06-23, 1946-06-30, 0.001004016064257028]; [1946-06-30, 1946-07-07, 0.0016216216216216215]; [1946-07-07, 1946-07-14, 0.0017605633802816902]>","<[1946-06-23, 1946-06-30, 0]; [1946-06-30, 1946-07-07, 0]; [1946-07-07, 1946-07-14, 0]>","<[1946-06-23, 1946-06-30, 2]; [1946-06-30, 1946-07-07, 2]; [1946-07-07, 1946-07-14, 2]>","<[1946-06-23, 1946-06-30, 2]; [1946-06-30, 1946-07-07, 2]; [1946-07-07, 1946-07-14, 2]>"
'Vino' Grapieoli,'Vino' Grapieoli,"<[1945-12-23, 1945-12-30]>",PERSON,"<[1945-12-23, 1945-12-30]>",0,0,55,2,0.666667,0.75,0,0,1,1,0,1,1,0,0,"<[1945-12-16, 1945-12-23, 0.004201680672268907]; [1945-12-23, 1945-12-30, 0.00196078431372549]; [1945-12-30, 1946-01-06, 0.0034965034965034965]>","<[1945-12-16, 1945-12-23, 0]; [1945-12-23, 1945-12-30, 0]; [1945-12-30, 1946-01-06, 0]>","<[1945-12-16, 1945-12-23, 1]; [1945-12-23, 1945-12-30, 1]; [1945-12-30, 1946-01-06, 1]>","<[1945-12-16, 1945-12-23, 1]; [1945-12-23, 1945-12-30, 1]; [1945-12-30, 1946-01-06, 1]>"
'Yelly' Kelly,'Yelly' Kelly,"<[1946-05-26, 1946-06-02]>",PERSON,"<[1946-05-26, 1946-06-02]>",0,0,6,1,1,1,0,0,1,1,0,1,1,0,0,"<[1946-05-19, 1946-05-26, 0.02406417112299465]; [1946-05-26, 1946-06-02, 0.006072874493927126]; [1946-06-02, 1946-06-09, 0.022048364153627313]>","<[1946-05-19, 1946-05-26, 0]; [1946-05-26, 1946-06-02, 0]; [1946-06-02, 1946-06-09, 0]>","<[1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]; [1946-06-02, 1946-06-09, 1]>","<[1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]; [1946-06-02, 1946-06-09, 1]>"
